id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
52530926,Zen in Brooklyn,88587311845,unconfirmed,Paris,Brooklyn,Bedford-Stuyvesant,40.6878,-73.93915,United States,US,False,moderate,Private room,2016,$964 ,$193 ,3,3,6/25/2019,0.18,4.0,4,89,"Pets not allowed, no exceptions. Check in typically 5-6pm but flexible. No extra guests beyond those who have signed up please. Smoking is not permitted. Mainly just leave the place as you found it!",
52531478,Masterful bedroom & private bathroom in Astoria,55810357186,unconfirmed,David,Queens,Long Island City,40.763220000000004,-73.93047,United States,US,False,moderate,Private room,2016,$543 ,$109 ,3,0,,,3.0,1,0,"- This apartment is a place for self-sufficient guests and travellers who require minimal host attention and checking-in except in the case of emergencies. - keys are picked up off-site at our company's offices in the Noth End.  Very close to Charlestown and on the way from the airport to the apartment. - No loud music after 10pm - No overnight guests - No smoking - Non-service animals not permitted - No live flames of any kind (i.e. candles, incense, etc.)",
52532031,Prime Location 3 Bedrroms Apartment,85716766049,verified,Nick,Manhattan,Kips Bay,40.74265,-73.98066,United States,US,True,moderate,Entire home/apt,2022,$520 ,$104 ,30,16,5/20/2019,0.98,5.0,1,145,No smoking. No hosting visitors in-house.,
52532583,Spacious & Private Apt steps to Prospect Park,97164003594,unconfirmed,Jeanne,Brooklyn,Prospect-Lefferts Gardens,40.65891,-73.95886999999999,United States,US,True,strict,Entire home/apt,2006,"$1,178 ",$236 ,2,68,7/5/2019,4.27,4.0,2,32,,
52533135,Open studio in Bushwick,36990679302,verified,John,Brooklyn,Bushwick,40.69749,-73.93153000000001,United States,US,True,flexible,Entire home/apt,2010,$584 ,$117 ,3,7,8/5/2018,0.42,4.0,1,38,,
52533688,"Bright, spacious, ensuite bedroom in Williamsburg",77533576991,verified,Vanessa,Brooklyn,Williamsburg,40.71779,-73.94632,United States,US,True,strict,Private room,2012,$573 ,$115 ,1,5,6/8/2019,0.34,4.0,1,90,"This is our primary residence and we open it up to guests when we are going to be out of town.  We ask that guests respect our home as they would their own.  We do have a dog that lives with us, Mavis, who will also be away, but if someone has severe allergies, you may want to bring meds.   This is a great condo in an amazing area with extremely nice neighbors, that being said, please be courteous to them during your stay. ",
52534240,"3 BdRm Apt, 8min to LGA & 25mins to JFK,Manhattan",36079390584,verified,Dawa,Queens,East Elmhurst,40.75703,-73.88368,United States,US,True,moderate,Entire home/apt,2016,$494 ,$99 ,2,68,6/24/2019,4.27,5.0,1,89,"Please be considerate of the other people residing in the house. This is a home not a frat house. Any bad behavior  will result in you being asked to leave.  No smoking at all in the house! .  Please do not sit on door stoop in front of the house and smoke. The smoke flows into the next door neighbors window. They have small children. Please do not toss ciggarrette butts into the neighbors stairwell. If you need to smoke -please take a walk ..thanks.. Sorry no pets. Check in time is  3 P.M.- Check out  is 11 A.M. These times may be flexible. Please let me know if your plans warrant different check in/check out times. I'm flexible. Only registered guests allowed to stay overnight in space.   'DO NOT PARK IN FRONT OF THE HYDRANT""  $100.00 FINE..",
52534792,Private Room in Comfortable Bushwick Apartment,64998307372,verified,Meg,Brooklyn,Bushwick,40.7046,-73.92198,United States,US,True,moderate,Private room,2021,$519 ,$104 ,1,18,7/1/2019,1.11,3.0,1,19,"Check in time is 3pm. Check out is 11am. . Please call or text me if you are delayed in traffic..if you're travelling from the south towards  Boston, expecially Friday afternoon. prepare for delays. *No smoking. Also, please do not smoke on door stoop in front of the house. The smoke makes its way into neighbors window. Also do not throw ciggarette butts into neighbors stairwell. If you need to have a smoke please take a walk.. thanks...  *Please keep noise to minimum after 10 in the evening. *Please refrain from taking showers after 11pm. Please be considerate of those residing below you. *Apartment space is to be used by registered guests only. *No yelling out windows to people in street or in cars. This is a home not a frat house. *Please be considerate of others residing in the home during your stay. No pets Thank you...Joe",
52535344,2 Bathrooms-Modern Room in Queens (3),20198515711,unconfirmed,Eduardo,Queens,Jackson Heights,40.75251,-73.86401,United States,US,True,moderate,Private room,2010,$418 ,$84 ,2,60,7/1/2019,3.93,5.0,5,125,,
52535897,NEW Bright-2 bath/4min to train and 10minto LGA(1),17194223254,verified,Eduardo,Queens,Jackson Heights,40.75312,-73.86479,United States,US,False,strict,Private room,2011,$529 ,$106 ,2,59,6/18/2019,3.7,2.0,5,157,"Feedback is welcome--please let us know how we can improve your experience! Check in is 4-8 p.m. Early and late check-ins are possible, but must be requested in advance and are subject to availability.  Check out time is 11 a.m. Late check-out is possible upon request in advance subject to availability. Regretfully, the suite is not appropriate for children and we cannot accommodate them. Regretfully, for health and safety reasons, there is no smoking on the property. Regretfully, we cannot accommodate guest pets  14 days' cancellation notice or full charge for stay.  If you check out before the end of your reserved stay, the full amount of your stay will be charged.",
52536449,Modern: 5mins to train; 30min to Times-2 Bath (2),64632039153,unconfirmed,Eduardo,Queens,Jackson Heights,40.75295,-73.86465,United States,US,False,moderate,Private room,2009,$789 ,$158 ,2,66,7/2/2019,4.06,4.0,5,150,"NO smoking, no parties, no large dogs. I expect that the house will be the way I left it for you :) (small dogs ok) ",
52537001,5mins to train; New York Modern Home- (5),37287786348,unconfirmed,Eduardo,Queens,Jackson Heights,40.75287,-73.86435,United States,US,True,flexible,Private room,2004,$758 ,$152 ,2,34,6/8/2019,2.07,5.0,5,126,"All guests must agree to the following:   1. The hallway going up to the penthouse is narrow. Take care not to make marks or scratches from suitcases on the walls. 2. No smoking anywhere on the premises or around the building.  3. The guest must keep the room clean. Please dispose of the garbage can bag upon checkout and leave the used towels and sheets in the white hamper at the foot of the bed.  4. Guests may use the washer and dryer in the basement, but clothes must be immediately removed from machines when done. Make sure to clean the lint tray on the dryer to avoid a risk of fire.  5. No additional guests are allowed to stay past 11:00 PM or sleep over. The room is designed for a single-person use only.  6. When using the bathroom, male guests are asked to sit or keep seats down and to clean the seat after each use. Guests must tidy the shower when done.  7. Guests may NOT place hot pans or cooking items on the marble counters without a trivet. There are two silicone trivets and a",
52537554,Newly Renovated-5mins to train; 30mins to City (4),50442586886,unconfirmed,Eduardo,Queens,Jackson Heights,40.75144,-73.86418,United States,US,True,flexible,Private room,2022,"$1,108 ",$222 ,2,32,5/3/2019,1.96,4.0,5,126,"Information for Your Stay at 46 Monument Avenue Charlestown, MA 02129 First, welcome and thank you for choosing my home for your stay in Boston. Please let me know if I can be of assistance in making your visit enjoyable and comfortable. Please be advised that there is absolutely no smoking in the house! Thank you for your cooperation.  If you are smoker and been caught smoking in the house you will be asked to leave and no refund.  Please do not smoke in front of the house or around the house. Arrival and Departure ·	Kindly remember to check out before 10:00 A.M. and check in after 4:00 P.M. ·	Most likely, I will say good-bye to you when you leave however should our schedules not match, please shut and lock all windows and doors when leaving nd make sure all lights are off. ·	After going out the black door, leave the keys in the mail slot. Internet and Cable 	For internet access, you will get this number when you arrive. Public Transportation and Getting Around ·	To use the subway (un",
52538106,AC Room W/ Bathroom close to Northwell and JFK!,52921298789,unconfirmed,Louann,Queens,Queens Village,40.72528,-73.74738,United States,US,True,strict,Private room,2015,$398 ,$80 ,2,85,6/9/2019,5.56,3.0,2,349,"No pets and no smoking, please. No group parties and we kindly ask that you limit the number of people on the roof deck to a maximum of 4. Please be respectful of our neighbors below us and next to us and try to limit any noise after 10PM. Trash should be left in the unit, tied up and next to the barrel in the kitchen. The front door to the building can be tricky, so please double check and pull it shut so that it locks completely.",
52538658,BEAUTIFUL SUNNY ROOM!,20266590371,verified,Fejir,Brooklyn,Bushwick,40.68493,-73.90881999999999,United States,US,True,flexible,Private room,2004,$720 ,$144 ,1,0,,,3.0,1,0,,
52539211,Hotel-like Studio- loft Wall Street,80019926568,verified,Tanya,Manhattan,Financial District,40.70234,-74.01047,United States,US,True,flexible,Entire home/apt,2017,$280 ,$56 ,2,77,6/30/2019,4.7,5.0,1,85,"- cleaning, quiet, friendly, no drug, no smoking,",
52539763,3 Bed + 2 Bath Trendy Upper East Apartment,97835851014,unconfirmed,Amanda Rose,Manhattan,Upper East Side,40.76398,-73.96581,United States,US,False,flexible,Entire home/apt,2020,$437 ,$87 ,1,52,7/1/2019,3.24,2.0,1,3,,
52540315,Convenient and Comfy - minutes from Manhattan!,58230878434,verified,Megan And Martin,Queens,Long Island City,40.750440000000005,-73.93961,United States,US,False,strict,Private room,2013,$82 ,$16 ,4,0,,,4.0,1,0,,
