id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
45074876,Prestige Townhouse 5B 3.5bath East Central Park,82920262132,verified,Virginie,Manhattan,Upper East Side,40.76482,-73.96061,United States,US,True,flexible,Entire home/apt,2012,"$1,021 ",$204 ,1,1.0,7/3/2019,1.0,3,1,362,,
45075428,Private room near Central Park,49579130555,verified,Mich,Manhattan,Upper East Side,40.78093,-73.95499000000001,United States,US,True,flexible,Private room,2020,$869 ,$174 ,5,71.0,6/27/2019,2.67,2,1,66,"No guests can be allowed access to the building/grounds that have not been mentioned at the time the reservation was made.   This is to keep everyone, including my neighbors, safe. No smoking. No pets. Campsite rules - leave it as you found it please! (trash cans are right out the back door on the other side of the patio fence). Being low key/quiet after 10pm when on the patio is much appreciated by our neighbors.",
45075981,I LOVE NEW YORK in Theater District,65646625741,unconfirmed,Sam,Manhattan,Hell's Kitchen,40.764759999999995,-73.98456999999999,United States,US,True,moderate,Entire home/apt,2003,$117 ,$23 ,4,79.0,6/26/2019,3.03,5,1,211,"No pets or smoking allowed any where on the premises.  Check-in is at 4:00 pm or later and check out is at 11 am.  After hours self check-in is available but MUST be PER-ARRANGED with host in advance. Bag storage is extra as are early check-in and late check out when possible. Guest are expected to be respectful of others in the building, neighbors, and the property.",
45076533,Gorgeous private bedroom in Park Slope,67249551358,verified,Lara,Brooklyn,South Slope,40.66405,-73.98512,United States,US,False,flexible,Private room,2019,"$1,120 ",$224 ,14,9.0,6/8/2019,0.34,4,2,101,"Quiet hours 10pm -7AM. No additional people besides the reservation listing allowed in the apartment. Alcohol in moderation is allowed. No smoking, no drugs. Please, leave the apartment the way in which you found it! Females only.",
45077085,"Large, Sunny, Cozy Room in the Heart of Bed-Stuy!",81710569098,unconfirmed,Femi & Toya,Brooklyn,Bedford-Stuyvesant,40.67922,-73.94937,United States,US,True,moderate,Private room,2020,"$1,176 ",$235 ,4,39.0,6/15/2019,1.46,3,1,338,Feel free to use any dishware in the house but please load and run the dishwasher when you leave.,
45077638,ONE STOP TO TIME SQUARE BEAUTIFUL QUIET STUDIO,79115299329,verified,Natalya,Manhattan,Murray Hill,40.747690000000006,-73.9784,United States,US,False,flexible,Entire home/apt,2006,$131 ,$26 ,1,141.0,6/24/2019,5.63,2,1,90,#NAME?,
45078190,Charming Room 4 blocks from Empire State Building,89221866614,unconfirmed,Martin & Christine,Manhattan,Kips Bay,40.744040000000005,-73.97985,United States,US,False,moderate,Private room,2003,"$1,195 ",$239 ,3,59.0,6/23/2019,2.92,4,1,51,- I've got a parking space that I can rent to you separately for $20 a night,
45078742,"Spacious, airy & sunny room in UWS, Manhattan!",14468777626,verified,Ben,Manhattan,Upper West Side,40.79871,-73.96800999999999,United States,US,True,flexible,Private room,2019,$419 ,$84 ,6,3.0,1/6/2019,0.13,4,3,0,"Smoking is not permitted inside the condo.  We do not have any pets and we also ask that you don't bring yours. Please remove shoes and place in the basket upon entering the door. Although we understand the wear and tear that little ones make, we expect that all messes will be cleaned up as they happen and you will be respectful of the neighbors. Persons booking must be 18 years or older in order to rent.",
45079294,Spacious room 3 blocks from M train,72577840356,unconfirmed,Oleg,Queens,Ridgewood,40.70442,-73.89602,United States,US,False,moderate,Private room,2003,$379 ,$76 ,2,29.0,6/27/2019,1.11,4,1,0,Please respect the residents of the building by keeping noise down.,
45079847,Spacious Brooklyn 3BR perfect for families,80262576966,unconfirmed,Amanda,Brooklyn,Carroll Gardens,40.6838,-73.998,United States,US,False,moderate,Entire home/apt,2015,$726 ,$145 ,2,7.0,12/31/2017,0.27,2,1,0,This is a quiet building and we would only like guests that want quiet and privacy.  Absolutely no smoking on the premises.,
