id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
16244816,Williamsburg Home - Plant Jungle,71796201256,unconfirmed,Johnny,Brooklyn,Williamsburg,40.71759,-73.94549,United States,US,False,moderate,Private room,2013,"$1,127 ",$225 ,2,9,1/2/2019,0.46,5,3,0.0,"• No parties or events • No smoking This is a smoke-free house but you are welcome o smoke on the balcony, Pleas keep it clean. If you have a pet please let me know and I would be happy to consider. I hope to make your stay as easy and comfortable as possible. Please email me  anytime if you have any questions!",
16245368,DESIGNER TOWNHOUSE IN HARLEM,15580910307,verified,Richard,Manhattan,Harlem,40.81023,-73.94142,United States,US,False,moderate,Entire home/apt,2021,$164 ,$33 ,3,4,11/24/2018,0.22,2,2,178.0,"No smoking, no parties, and no pets, please!",
16245921,Cozy room in Hamilton Hights R2,49723014600,unconfirmed,Beverly,Manhattan,Harlem,40.83233,-73.94561999999999,United States,US,True,flexible,Private room,2019,$215 ,$43 ,2,66,7/6/2019,3.28,2,3,49.0,,
16246473,Garden 1-Bedroom Apartment in Greenpoint,74273783298,verified,Sarah,Brooklyn,Greenpoint,40.72365,-73.95188,United States,US,True,moderate,Entire home/apt,2016,$309 ,$62 ,3,30,6/17/2019,1.52,4,2,101.0,"Non-smoker only Perfume/cologne/scented product not allowed Mild scent deodorant OK but no sprays If guest cases damages, the host can claim under the law of MA",
16247025,Master Bedroom on Central Park for Christmas!,38242875775,unconfirmed,Paige,Manhattan,East Harlem,40.79772,-73.94809000000001,United States,US,False,moderate,Private room,2014,$949 ,$190 ,3,0,,,3,2,0.0,,
16247578,Private sunny 1 Bedroom Apartment,75095066984,unconfirmed,Gaby,Brooklyn,Borough Park,40.63265,-74.00397,United States,US,True,moderate,Entire home/apt,2008,$579 ,$116 ,2,6,5/26/2018,0.32,5,1,0.0,"Please be respectful of other guests.  Keep the common areas clean and pick up after your self.  No loud music after 10:00PM.  It is a safe neighborhood but please, keep doors locked for safety No smoking in the house (smoking is allowed on the front or back decks).",
16248130,Chill modern garden apartment in Crown Heights,50455212304,unconfirmed,Robert,Brooklyn,Crown Heights,40.67034,-73.92777,United States,US,True,strict,Entire home/apt,2007,$239 ,$48 ,2,31,6/30/2019,1.63,5,1,45.0,"- Clean up after yourself, be respectful, and there will be no problems!",
16248682,Cozy room in Hamilton Hights R1,39637926216,unconfirmed,Beverly,Manhattan,Harlem,40.83139,-73.94672,United States,US,False,flexible,Private room,2015,$602 ,$120 ,2,68,7/6/2019,3.38,5,3,49.0,,
16249234,Renovated private apartment close to subway train,46680168766,verified,Ekta,Brooklyn,Flatbush,40.64658,-73.96909000000001,United States,US,True,strict,Entire home/apt,2007,$928 ,$186 ,2,27,6/24/2019,1.46,2,1,167.0,"No drugs, smoking, or guests. Keep the tv volume down when roommates are sleeping. I will only accept offers from guests with previous reviews.",
16249787,Gorgeous 1bd in Trendy Brooklyn!,93416335530,verified,Kaitlin,Brooklyn,Park Slope,40.67655,-73.97303000000001,United States,US,False,flexible,Entire home/apt,2021,$212 ,$42 ,4,4,12/30/2018,0.22,2,1,0.0,,
16250339,Modern Whimsical Room,78426822969,unconfirmed,Rachel,Brooklyn,Crown Heights,40.67433,-73.9248,United States,US,False,strict,Private room,2005,"$1,149 ",$230 ,4,11,5/16/2019,0.56,4,3,0.0,"Please keep shoes off while inside. Food should be kept in the kitchen/dining area. Be mindful of our great neighbors and keep noise to a reasonable level. No pets or smoking, please!",
16250891,Timeless West Village Townhouse with Garden,15877000723,unconfirmed,Ben,Manhattan,Chelsea,40.74025,-74.00066,United States,US,True,flexible,Entire home/apt,2003,$785 ,$157 ,3,21,10/14/2018,1.09,2,1,0.0,"This is two bedroom located in the heart of Brighton. It takes you to downtown by T within 20 minutes. The T is super close. The house rules are kind of very simple so please no smoking inside the house. No additional guest ($20 USD will be charged for per person if you have your guests) +Kitchen: If you cook, please clean up after yourself. I will provided everything like pans, pots, dishes, utensils, etc +Bathroom: I will be providing  towels and shampoo. But no toothpaste and toothbrush.  One more thing, time to check in is 3PM and check out time 12PM. Please shoes off in the house.",
16251444,"UWS - Cozy, Artsy 1 Bedroom",21163054687,verified,Chryssie,Manhattan,Upper West Side,40.79951,-73.96436,United States,US,True,flexible,Entire home/apt,2011,$271 ,$54 ,1,37,7/5/2019,1.93,4,1,176.0,"Please keep the apartment clean for the next guest. Remove the trash to the dumpster, take the bed linen off the bed and drop into the laundry basket in the restroom. There's a coin operated laundry on the same floor. $1.75 washer and $0.75 drier. You can find the detergent in the small closet by the front door. feel free to use the laundry room if you need to. Thank you and have a nice stay in Boston",
16251996,Wonderful Upper East Side Lux Close to Subway,69951421487,verified,Viktor,Manhattan,Upper East Side,40.76401,-73.95823,United States,US,True,flexible,Entire home/apt,2004,$423 ,$85 ,7,1,12/11/2017,0.05,2,1,0.0,,
16252548,It's All Yours: Big Beautiful 1 Bedroom in Harlem,50796166627,unconfirmed,Jahmil,Manhattan,Harlem,40.81425,-73.94187,United States,US,True,flexible,Entire home/apt,2019,"$1,127 ",$225 ,3,5,5/28/2018,0.31,3,1,0.0,"A few totally painless house rules:  - Please take your shoes off once inside the apartment. My apartment is kept very clean and tidy, so taking shoes off is essential to keeping it the same way for you and for me. - Kitchen is available for ""light use"" and ""vegetarian"" food only. You are free to bring in outside cooked food/meat. Please stack the dishes in the dishwasher to the left of the sink. Keep the kitchen and counters clean immediately after use. Food should be consumed only in the dining area and not in the room. - When leaving the apartment, please always lock the top lock on the door, shut off all the lights before you leave, if you open windows, please close and lock them before you leave the apartment. - Quiet time after 10pm. - NO SMOKING IN THE APARTMENT (You can smoke in the balcony area)!  - SADLY NO PETS!! - ABSOLUTELY NO PARTIES!!!",
16253101,"Entire Home for 8 Guests, Fully Equipped",88990933184,verified,Jerry,Queens,Flushing,40.75314,-73.81964,United States,US,True,moderate,Entire home/apt,2012,"$1,122 ",$224 ,3,50,6/30/2019,2.51,4,1,40.0,Please leave shoes at the front door. Guests should wash dishes after using them and clean the stove after each use.  Please keep common areas clean (especially the bathroom).  Do not leave towels lying around (either hang on the rack in the bathroom or in the closet) Do not make noise after midnight.  No additional guests,
16253653,Professionally Decorated 1 BR in Downtown Flushing,77855948228,unconfirmed,Alan,Queens,Flushing,40.75963,-73.82218,United States,US,False,moderate,Entire home/apt,2013,$409 ,$82 ,30,0,,,2,15,214.0,#NAME?,
16254205,Studio Flat in Williamsburg  Ny  2/4 Guest,32964096444,unconfirmed,Franco,Brooklyn,Williamsburg,40.708870000000005,-73.95591,United States,US,False,moderate,Entire home/apt,2005,"$1,187 ",$237 ,2,71,6/23/2019,3.92,4,2,83.0,"Please be respectful of other guests.  Keep the common areas clean and pick up after your self.  No loud music after 10:00PM.  It is a safe neighborhood but please, keep doors locked for safety No smoking in the house (smoking is allowed on the front or back decks).",
16254757,The BEST LOCATION in Brooklyn,41246479005,unconfirmed,Kira,Brooklyn,Prospect Heights,40.6818,-73.97551999999999,United States,US,False,strict,Private room,2017,$497 ,$99 ,1,13,1/21/2019,0.65,4,2,0.0,,
