id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
45240566,"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",66693458216,verified,"R, J",Brooklyn,Bedford-Stuyvesant,40.68914,-73.94556,United States,US,False,strict,Entire home/apt,2018,$789 ,$158 ,1,146.0,6/24/2019,5.57,5,3,21,- Please keep volume to a minimum past 11pm - No smoking -No parties or unexpected guests,
45241118,"Large Room in Brooklyn Townhouse, Great Location",38910312946,unconfirmed,Obed,Brooklyn,Fort Greene,40.69063,-73.97195,United States,US,False,flexible,Private room,2012,"$1,150 ",$230 ,8,6.0,5/10/2018,0.24,5,5,0,"Please treat this apartment as you would your own home. Additionally, there are other tenants in the building, so please be respectful and keep the noise level low. While the apartment does have a fish, please no additional pets. This building is also a smoke free building",
45241671,Great place for one or two.,44901024682,verified,Mercedes,Manhattan,Washington Heights,40.83847,-73.94211,United States,US,False,moderate,Private room,2013,$823 ,$165 ,1,93.0,7/7/2019,3.59,4,1,311,Quiet time after midnight. Please turn off the light/AC each time when you go out. :) No Staying overnight  in the living room/couch. Glasses/liquor in the living room cabinets are not available.  Please don't leave dirty dishes.  Please tidy the kitchen when you finished cooking and leave dishes in dry in the dishwasher. Feel free to use the dishwasher. Detergent is under the sink. Thank you!,
45242223,Spacious Private Bedroom in Hip Bushwick,868180273,unconfirmed,Maria,Brooklyn,Bushwick,40.69604,-73.92278,United States,US,True,moderate,Private room,2015,"$1,198 ",$240 ,25,6.0,9/14/2017,0.24,1,1,0,Please be respectful of the space and building! No loud noises or extra guests beyond 10pm.,
45242775,"Clean, quite, and near a lot of transportation",54993158405,unconfirmed,Willie,Manhattan,Harlem,40.82761,-73.9375,United States,US,False,strict,Private room,2007,"$1,130 ",$226 ,1,4.0,5/19/2017,0.15,5,1,365,,
45243328,CHARMING CHELSEA BROWNSTONE STUDIO NEAR HIGHLINE,87834339499,verified,Ben,Manhattan,Chelsea,40.7453,-74.00001999999999,United States,US,True,flexible,Entire home/apt,2014,$299 ,$60 ,3,24.0,6/8/2019,1.12,5,1,14,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",
45243880,2BR luxury apt in Midtown East,49225385713,unconfirmed,Veronique Camille,Manhattan,Midtown,40.75233,-73.97296999999999,United States,US,True,moderate,Entire home/apt,2020,$897 ,$179 ,4,0.0,,,3,8,0,"- Please treat this home as your own and respect the neighbors. No parties, smoking, or additional guests (other than the agreed upon).",
45244432,Cozy room across the street from the high bridge,5862150010,unconfirmed,Nahuel,Bronx,Highbridge,40.84111,-73.92513000000001,United States,US,True,moderate,Private room,2012,$908 ,$182 ,2,100.0,6/23/2019,3.86,3,5,338,No smoking. No parties. Please be considerate of your neighbors and consolidate all trash during your stay to the trash cans at the back entrance of the building. Thank you.,
45244984,Cozy Two Bedrooms Home Away From Home  Getaway.,83629642560,verified,Artnell,Brooklyn,East Flatbush,40.63693,-73.92241999999999,United States,US,False,flexible,Entire home/apt,2020,$914 ,$183 ,2,108.0,6/29/2019,4.18,5,1,320,NO Smoking.  No Pets.,
45245537,"Spacious Private 1BR apt,common area in UES/Harlem",2702823496,verified,Kyle,Manhattan,East Harlem,40.78974,-73.9425,United States,US,True,strict,Shared room,2010,$152 ,$30 ,3,0.0,,,4,1,83,"NO smoking, no pets, all guests must be disclosed. ",
