id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
56673176,newly renovated apt in Brooklyn!,62360348937,unconfirmed,Rito,Brooklyn,Bedford-Stuyvesant,40.68205,-73.92833,United States,US,False,moderate,Entire home/apt,2021,$989 ,$198 ,3,73,6/24/2019,2.5,3,1,329,"Nothing out of the ordinary...the basic considerations...being reasonably neat and tidy.   Please leave shoes in the entranceway.   NO SMOKING in apartment or deck. Kitchen is available for breakfast only;   I stock the breakfast essentials...coffee, tea, milk, cream, juice, cereal, bread, jelly, and often other items as well.  You may use the fridge for beverages and light snacks all day, but no cooking, frying baking of any meal, and no dinner in the house.   You may store items in the fridge. I'm insensitive to noise, so there is no need to tip-toe.  Plus we are 2 floors apart, you likely won't be hearing me either. I do request that guest be tidy and clean, i.e. dishes not left overnight, etc.  I do have a housekeeper a couple of times a month to handle the big stuff.",
56673728,Cozy modern Coliving in Flatbush/twin shared room,93827711421,verified,Daria,Brooklyn,East Flatbush,40.64233,-73.94773,United States,US,True,moderate,Shared room,2007,"$1,048 ",$210 ,30,0,,,3,4,365,"•Parties or Gatherings are not permitted. •Please be courteous to the neighbors and keep noise levels low, especially between the hours of 10pm-10am. •Absolutely no smoking in the apartment. Smoking only on the back porch •Overnight guests are not permitted unless included on the initial reservation. •Please help us conserve energy by turning off lights, small appliances, lamps, etc. when not being used.  •Please store recyclables separately. •Pets are not permitted at any time. •If you need flexibility around the specified check in or check out times, let us know in advance.",
56674281,Modern Apartment 7 min from JFK Airport and Casino,95929666766,verified,James,Queens,South Ozone Park,40.6727,-73.81598000000001,United States,US,True,strict,Entire home/apt,2018,$324 ,$65 ,1,2,7/8/2019,2.0,4,1,42,,
56674833,Skylight loft bed room in large artist house!,73141983516,unconfirmed,Freddi,Brooklyn,Bushwick,40.69935,-73.92642,United States,US,False,strict,Private room,2009,$959 ,$192 ,7,7,1/16/2019,0.24,1,2,0,NO SMOKING ON PREMISES! NO PARTY! A printed house rule will be provided. Please be respectful to others when both rooms are booked. Non-registered guest may not stay overnight  11AM check-out (FIRM) and check-in time is between 3-9PM. No check-in later than 9PM.,
56675385,Sunny private room in fabulous North Park Slope!,64433082279,verified,Sarah,Brooklyn,Park Slope,40.680890000000005,-73.97965,United States,US,True,flexible,Private room,2004,$544 ,$109 ,1,3,9/29/2018,0.1,1,1,108,,
56675938,Garden studio w/ private entry&bath. No smokers.,24649707855,verified,Etwin,Brooklyn,East Flatbush,40.65737,-73.92563,United States,US,False,moderate,Private room,2010,$681 ,$136 ,3,36,1/1/2019,1.28,2,1,50,"•Smoking is allowed outside the house.  •Sorry, not pets - my Boston Terrier prefers 2 legged visitors.  •Please take shoes off in the living room. •Do not flush anything down toilet except toilet paper •Please maintain a reasonable volume •Please respect the property •Do not purchase anything on cable Check out is at 11am on the last day of your reservation unless discussed during the booking process.  Thank you!",
56676490,Stylish and cozy East Village 2 bedroom apartment,55781009035,verified,Stephanie,Manhattan,East Village,40.72798,-73.97787,United States,US,True,strict,Entire home/apt,2007,"$1,036 ",$207 ,1,1,12/28/2016,0.03,4,1,0,"Check-in is 2:00 pm, and checkout 11:00 am. You may bring bags in before check in time or leave it to pick up later. Let me know to arrange it. After reservation please send me your arrival and departure time for logistics Help yourself coffee or tea anytime NO shoes to the second floor  Keep the volume low before 8am and after 10pm Close the doors gently No shower after  11:30pm No laundry after  before 9am and after 8pm Keep the kitchen in a decent condition after your use Close the shower curtain well, no hair in the tub, no water around the sink on the sink there is a sponge you can use it to dry Turn off the light when you leave the room Trash out from the room  BLUE BOX recycling  Please respect this rules. Full refunded of security deposit in this case",
56677042,Room for rent (females ONLY),55312654839,verified,Chioma,Bronx,Parkchester,40.84012,-73.86521,United States,US,True,strict,Private room,2011,$931 ,$186 ,1,1,1/1/2017,0.03,1,1,0,No smoking in the house. No pets.,
56677594,Williamsburg Sun-Filled Home Away From Home!,33226456402,unconfirmed,Lindsay,Brooklyn,Williamsburg,40.71304,-73.94861999999999,United States,US,False,strict,Private room,2021,"$1,037 ",$207 ,2,7,9/4/2018,0.23,4,1,146,"Check-in is 2:00 pm, and checkout 11:00 am. You may bring bags in before check in time or leave it to pick up later. Let me know to arrange it. After reservation please send me your arrival and departure time for logistics Help yourself coffee or tea anytime NO shoes to the second floor  Keep the volume low before 8am and after 10pm Close the doors gently No shower after  11:30pm No laundry after  before 9am and after 8pm Keep the kitchen in a decent condition after your use Close the shower curtain well, no hair in the tub, no water around the sink on the sink there is a sponge you can use it to dry Turn off the light when you leave the room Trash out from the room  BLUE BOX recycling  Please respect this rules. Full refunded of security deposit in this case   .",
56678147,All season studio in Astoria,35173100958,unconfirmed,Elva,Queens,Ditmars Steinway,40.77677,-73.9106,United States,US,True,moderate,Entire home/apt,2011,"$1,112 ",$222 ,3,93,6/28/2019,3.03,1,1,12,Please respect our home .,
