id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
17901716,Sunlit Charming Studio in Park Slope,35715358073,verified,Emily,Brooklyn,Park Slope,40.6701,-73.98151,United States,US,True,strict,Entire home/apt,2020,$812 ,$162 ,30,25,6/25/2019,1.63,5.0,1,125,"This is a ""no smoking"" building. Xfinity (Comcast wirelss service) is available direct from service provider: (URL HIDDEN) $2.95 hourly pass* $7.95 daily pass $19.95 weekly pass $54.95 monthly pass",
17902268,♔ 1min to Center of Times Square & 42nd St. ♔,31756421596,unconfirmed,Edwin,Manhattan,Hell's Kitchen,40.75869,-73.99068,United States,US,False,flexible,Private room,2009,$986 ,$197 ,2,19,6/24/2019,1.33,4.0,1,166,No Smoking.  No pets except by special arrangement.   Please keep reasonably quiet when in the apartment/building--this is a quiet and densely populated neighborhood. Please DO NOT leave trash on the street.  Separate recycling. Contact me if trash needs to be removed during your stay.,
17902821,Live like a New Yorker!  Easy access to all...,31625296955,unconfirmed,Heather,Manhattan,Washington Heights,40.8331,-73.94346999999999,United States,US,False,moderate,Private room,2018,"$1,038 ",$208 ,2,0,,,3.0,1,0,"NO PETS, NO SMOKING permitted! ",
17903373,"4 bdrm Riverdale apt, 15-30 minutes to Manhattan",98644840643,verified,Mj,Bronx,Spuyten Duyvil,40.88316,-73.91150999999999,United States,US,False,strict,Entire home/apt,2020,$185 ,$37 ,2,8,6/16/2019,0.51,4.0,1,71,I would rather than you not have lots of people over (and honestly the space isn't set up for/big enough for that anyway) and ask that you respect that space :),
17903925,Beautiful 1 BD Apt in Upper West Manhattan,80767298309,verified,דניאל,Manhattan,Morningside Heights,40.80454,-73.9645,United States,US,True,strict,Private room,2007,$799 ,$160 ,1,2,12/24/2018,0.16,3.0,1,0,Check In time :    3 pm Check out time : 12 pm quiet enjoyment No pets Nonsmoking No more than 4 people staying at the apartment unless disclosed and approved Extra person charge $75 per night Please be neat treat it like you would your home,
17904478,Great Price: Williamsburg Brooklyn Loft off L stop,63607095330,unconfirmed,Tasos,Brooklyn,Williamsburg,40.71412,-73.94447,United States,US,True,moderate,Entire home/apt,2016,$972 ,$194 ,45,1,3/17/2018,0.06,2.0,1,0,,
17905030,Private Bedroom in Apartment in Bushwick & Bedstuy,42762650056,verified,Dylan,Brooklyn,Bushwick,40.687540000000006,-73.91411,United States,US,False,moderate,Private room,2013,$611 ,$122 ,1,80,6/28/2019,5.1,4.0,1,57,,
17905582,Sunny Room in Williamsburg,43737657756,verified,Joaquin,Brooklyn,Williamsburg,40.71594,-73.9573,United States,US,True,moderate,Private room,2011,$874 ,$175 ,14,0,,,4.0,1,0,,
17906134,Nice place for ladies only,51032923982,unconfirmed,Sissy,Bronx,Olinville,40.88455,-73.86587,United States,US,True,flexible,Shared room,2003,$902 ,$180 ,1,10,3/7/2019,0.67,3.0,1,312,- Respect your neighbors and the living space - Check out by 11am - Check in between 3pm & 7pm,
17906687,"PARK SLOPE REDESIGNED apt 2 BDRS trains F,G,R,2,3!",75628486695,unconfirmed,Sophia,Brooklyn,South Slope,40.660940000000004,-73.98652,United States,US,True,moderate,Entire home/apt,2006,$179 ,$36 ,1,5,3/10/2019,0.43,3.0,5,270,"I have no doubt you will be respectful of the space but there are a few things we ask of you: 1. No smoking 2. The speakers aren't working so please don't try to reassemble them 3. Please no makeup on the towels (unfortunately, stained towels have to be replaced with a charge) 4. No parties (in an old building, the walls are thin so we need to be respectful of the neighbors) 5. Please try to clean up after yourself (old food in the fridge, etc.)",
17907239,Large and beautiful room in Bedford,51178270893,verified,Vincent,Brooklyn,Williamsburg,40.711659999999995,-73.96054000000001,United States,US,False,strict,Private room,2020,$573 ,$115 ,2,0,,,5.0,1,0,,
