id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
52199546,Clean and Classy Central Park Studio,67622159607,verified,Kim & John,Manhattan,Upper East Side,40.76805,-73.96765,United States,US,True,moderate,Entire home/apt,2006,$848 ,$170 ,1,67,6/26/2019,3.81,2,1,186,"Enjoy your stay in our home, simply be respectful of our neighbors, no smoking and no pet allowed.",
52200098,"Spacious, Sunny room in Cobble Hill !",68120255895,unconfirmed,Shalini,Brooklyn,Cobble Hill,40.68712,-73.9914,United States,US,True,moderate,Private room,2022,$600 ,$120 ,3,0,,,4,1,0,#NAME?,
52200651,Private room & bathroom in luxury building at LIC,10550928758,unconfirmed,Juanjo,Queens,Long Island City,40.75561,-73.93596,United States,US,False,flexible,Private room,2005,$153 ,$31 ,2,1,2/7/2018,0.06,5,1,0,,
52201203,"Spacious & Quiet 1 Br Upper West Side, close to CP",44521596689,verified,Rgh,Manhattan,Upper West Side,40.78941,-73.97166999999999,United States,US,True,strict,Entire home/apt,2004,"$1,029 ",$206 ,7,9,6/2/2019,0.55,2,1,80,Yes please:  •  make yourself at home; •  ask questions. Please no: •  shoes inside; •  smoking; •  food in the bedroom; •  parties; •  pets.,
52201755,Dreamy Sunny Apt in Central Williamsburg,57555870567,verified,Meryl,Brooklyn,Williamsburg,40.711259999999996,-73.96009000000001,United States,US,True,strict,Entire home/apt,2018,$662 ,$132 ,6,6,3/10/2019,0.4,3,2,14,,
52202308,"Charming, Spacious Apartment on theUpper East Side",13270947480,verified,Kristen,Manhattan,Upper East Side,40.77219,-73.94763,United States,US,False,moderate,Entire home/apt,2019,$636 ,$127 ,5,6,12/7/2018,0.44,5,1,11,"Please just don't be loud at night or in the morning, we are just one wall/ceiling away from neighbors.  Also, just respect our things, wash dishes, keep it clean - the usual! - and everything will be peachy keen.",
52202860,Apt 6,57275515886,verified,Jonathan,Manhattan,Upper West Side,40.78694,-73.97218000000001,United States,US,True,flexible,Entire home/apt,2009,$941 ,$188 ,31,1,7/22/2018,0.09,2,3,161,No Smoking ,
52203412,MODERN AND BEAUTIFUL  BROOKLYN,64784736994,verified,Luiz,Brooklyn,Crown Heights,40.67346,-73.93295,United States,US,True,strict,Private room,2007,$752 ,$150 ,1,54,3/31/2019,3.07,3,1,0,"This is a quiet building and expect not to be disturbed, or to create disturbances.  There is a shared washer and dryer and it is not used after 11pm.  There is absolutely no smoking allowed in the building, on the fire escape or on the front steps.  We prefer that guests be non-smokers.  Guests are not permitted to bring pets, or have visitors with pets.  Bicycles can not be brought into the building.  The City of Boston collects trash two times per week and Guests are expected to observe local trash and re-cycling schedules.  There is a more detailed description available once reservation is completed.",
52203964,"Heart of Williamsburg, Sunny & Quiet Room",54922698295,unconfirmed,Karim,Brooklyn,Williamsburg,40.718990000000005,-73.95858,United States,US,False,strict,Private room,2019,$706 ,$141 ,7,5,1/7/2019,0.29,5,1,0,,
52204517,XL Private Room in a Magnificent Penthouse NYC1,41502310265,unconfirmed,Tomás,Manhattan,East Village,40.72149,-73.98273,United States,US,True,strict,Private room,2021,$128 ,$26 ,5,11,6/22/2019,0.69,3,2,5,EACH ROOM HAS A FULL SIZED BED AND NORMALLY ROOMS ARE RENTED TO SINGLE GUESTS ONLY. OCCASIONALLY A COUPLE OF ADULTS WILL BE CONSIDERED BUT THERE IS AN ADDITIONAL CHARGE FOR MORE THAN ONE PERSON,
52205069,Private 1BR Apt in Sunnyside Close to Train & LGA,41171736810,verified,Brie,Queens,Sunnyside,40.745259999999995,-73.91355,United States,US,True,strict,Entire home/apt,2021,$525 ,$105 ,4,26,5/26/2019,1.53,2,1,50,"No smoking , The key located in front of the main door next to the railing   Inside of the locker , I will send the passcode to the guest prior check in , please remember to put the key back in the locker when check out .      With the key , please open with the passcode, take the key out , then close the locker , when you check out , please open the locker , place the key , then close the locker . Thank you  The Internet username : kenwang549 Password: columbus12345 The assigned parking in the behind of the building , you can follow the direction with the picture shown , and there is a sign for the parking space . Any questions or problems please contact me at (PHONE NUMBER HIDDEN) , or e mail me . Thank you",
52205621,Charming Historic Apartment Near All Trains,38790504987,unconfirmed,Marissa,Manhattan,Financial District,40.707640000000005,-74.00076999999999,United States,US,False,strict,Private room,2007,"$1,138 ",$228 ,6,3,4/2/2018,0.17,3,1,0,"Be respectful of our neighbors - No loud music or parties, please.",
52206174,A Peaceful Haven in a Bustling City,84181095179,verified,Morgan,Queens,Ridgewood,40.70619,-73.9145,United States,US,False,flexible,Private room,2004,$984 ,$197 ,2,17,3/15/2019,1.01,3,1,0,No smoking please. No pets.,
52206726,Private Room A In Prime Location,11565291571,unconfirmed,Anna,Manhattan,Midtown,40.74698,-73.98906,United States,US,False,flexible,Private room,2009,$268 ,$54 ,1,135,6/15/2019,7.67,4,3,311,"Please no parties,  and no loud noise past 11p, out of respect for the neighbors.  Please no smoking inside the building.  If you cook or otherwise eat in the apartment, please reasonably clean up after yourself.",
52207278,1 Bedroom in an amazing central Bed-Stuy apt!,82257437809,unconfirmed,Nola,Brooklyn,Bedford-Stuyvesant,40.68652,-73.95005,United States,US,False,moderate,Private room,2020,$346 ,$69 ,5,0,,,4,1,0,No Pet. No Smoking. ,
52207831,"Stunning 1BR In Flatiron, Subway steps away!",67334490761,verified,Carnitas,Manhattan,Kips Bay,40.741479999999996,-73.98125999999999,United States,US,False,strict,Entire home/apt,2017,"$1,113 ",$223 ,30,40,6/23/2019,2.35,5,1,146,smoke-free campus.,
52208383,"Large, Sunny Bedroom in Bushwick/Bedstuy",83957842105,verified,Caleb,Brooklyn,Bushwick,40.68732,-73.9151,United States,US,True,flexible,Private room,2016,$58 ,$12 ,7,0,,,4,1,0,Please respect our privacy on 1st and 2nd floors.  We do appreciate you being quiet when coming in very late at night.  If you need anything we are happy to help in any way.,
52208935,2 Rooms Available. Heart of Brooklyn.Jacuzzi Bath!,37579354069,unconfirmed,Jami,Brooklyn,Bedford-Stuyvesant,40.685990000000004,-73.92967,United States,US,True,strict,Private room,2017,"$1,149 ",$230 ,2,48,6/19/2019,2.81,5,2,12,,
52209487,A WONDERFUL Place is Waiting 4U in Brooklyn !!!,27663889054,unconfirmed,Nix,Brooklyn,East New York,40.67342,-73.89325,United States,US,True,strict,Entire home/apt,2005,$160 ,$32 ,3,22,3/31/2019,1.3,3,1,189,No Smoking No Pets,
52210040,Charming Family Style Brownstone Apartment,93092252956,verified,Katiuscia,Manhattan,Upper East Side,40.76365,-73.96683,United States,US,False,strict,Entire home/apt,2016,$651 ,$130 ,2,63,6/19/2019,3.9,3,1,239,,
52210592,Sunny City Escape,58819964832,unconfirmed,Rachel,Queens,Ridgewood,40.70701,-73.90949,United States,US,False,strict,Private room,2010,$441 ,$88 ,2,0,,,4,1,0,"Be yourself, but please no wild parties, thanks :)",
52211144,Charming apartment nestled in NYC's West Village,64871577376,unconfirmed,Daniel,Manhattan,West Village,40.73254,-74.00285,United States,US,False,flexible,Entire home/apt,2019,"$1,076 ",$215 ,1,0,,,5,1,0,,
52211697,Large 2-Bedroom East Village Apartment,73959773662,verified,Mackenzie,Manhattan,East Village,40.72753,-73.98411999999999,United States,US,True,moderate,Entire home/apt,2019,$295 ,$59 ,2,5,6/24/2018,0.29,3,1,0,please be quiet and respectful of the other renters,
52212249,Cozy Private Room in Ditmas Park Apt,19688554089,unconfirmed,Lanxing,Brooklyn,Flatbush,40.65168,-73.96457,United States,US,False,moderate,Private room,2017,$137 ,$27 ,2,0,,,4,1,0,,
52212801,Spacious room in a renovated two-bedroom unit!,63806348580,unconfirmed,Siwoo,Manhattan,Washington Heights,40.83618,-73.94443000000001,United States,US,True,flexible,Private room,2019,$158 ,$32 ,7,0,,,2,1,0,,
52213354,"Three Bedroom Duplex apart. Clean, Modern Apt. 41",90716184401,verified,Gordon,Manhattan,Midtown,40.75946,-73.96498000000001,United States,US,False,flexible,Entire home/apt,2006,$628 ,$126 ,30,3,4/27/2019,0.21,4,5,108,"No smoking or additional guests, please.",
52213906,Comfy Bedroom in East Williamsburg,77090065488,verified,Brian,Brooklyn,Bushwick,40.70364,-73.93146,United States,US,False,strict,Private room,2013,"$1,186 ",$237 ,2,23,8/19/2018,1.39,3,2,0,THE HOUSE HAS 4 FLOORS AND IS SHARED WITH THE OWNER AND ONE OR TWO OTHER OCCUPANTS.   QUIET IS ASSURED (ESPECIALLY LATE EVENINGS) SMOKING IS NOT PERMITTED INSIDE THE HOUSE. THERE ARE NO LOCKS ON ROOM DOORS AS THESE ARE BEDROOMS IN A PRIVATE HOME.  PRIVACY IS ASSURED AND RESPECT OTHERS' BELONGINGS ,
52214458,Cloud Music Loft,73736668386,verified,Dan,Brooklyn,Crown Heights,40.678020000000004,-73.9614,United States,US,True,flexible,Private room,2010,$760 ,$152 ,1,19,6/23/2019,1.17,4,1,362,It's a quiet building on a quiet street with many working professionals. Please be respectful of our neighbors and no additional guests or parties. No Smoking. No Pets.,
52215010,Carroll Gardens 3 bedroom.,94796042387,unconfirmed,Steven,Brooklyn,Carroll Gardens,40.67674,-73.99769,United States,US,True,flexible,Entire home/apt,2017,$261 ,$52 ,3,38,6/18/2019,2.38,2,1,138,"Just be respectful, that's really all I ask.  I love my home and hope you do too. No smoking inside, please smoke on the stoop.  No pets please.",
52215563,My Place,72928753990,verified,Eliran,Manhattan,Upper East Side,40.77233,-73.95321,United States,US,True,moderate,Entire home/apt,2022,$869 ,$174 ,2,0,,,2,1,0,Party hard just don't break things.,
52216115,Luxury Studio - 1 Stop from NYC/Amazing Views,80933059531,unconfirmed,Ricardo,Queens,Long Island City,40.74893,-73.94688000000001,United States,US,True,flexible,Entire home/apt,2016,$441 ,$88 ,2,50,6/21/2019,2.95,4,1,161,This is a quiet building with absolutely no smoking inside the property or on the steps.  ,
52216667,Semiprivate room Forest Hills (female only),34709708040,verified,Claudia,Queens,Forest Hills,40.724540000000005,-73.84103,United States,US,True,strict,Private room,2013,$81 ,$16 ,1,5,12/31/2018,0.4,2,1,35,Please no smoking in the apartment.  There is a door to a balcony/fire escape for smoking.,
52217220,Couch with breakfast included and a view!,33252638144,verified,Sofia,Manhattan,East Harlem,40.802279999999996,-73.93903,United States,US,True,flexible,Shared room,2004,"$1,083 ",$217 ,1,30,6/1/2018,1.72,2,4,0,Have fun and please be respectful of the place. No parties Please do not smoke inside,
52217772,Williamsburg Private Room,39474635640,unconfirmed,Shauna,Brooklyn,Williamsburg,40.705420000000004,-73.9411,United States,US,False,flexible,Private room,2004,$785 ,$157 ,3,1,2/26/2018,0.06,2,1,0,,
52218324,Navidad en Manhattan oportunidad bajaron precios!,6951861379,unconfirmed,Isabel,Manhattan,Midtown,40.76482,-73.97965,United States,US,True,strict,Private room,2007,$163 ,$33 ,1,2,4/2/2018,0.13,5,1,0,"No guests can be allowed access to the building/grounds that have not been mentioned at the time the reservation was made.   This is to keep everyone, including my neighbors, safe. No smoking. No pets. Campsite rules - leave it as you found it please! (trash cans are right out the back door on the other side of the patio fence). Being low key/quiet after 10pm when on the patio is much appreciated by our neighbors.",
