id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
54353516,Williamsburg sunny bedroom,69346239313,verified,Arnaud,Brooklyn,Williamsburg,40.71674,-73.95825,United States,US,False,strict,Private room,2006,$947 ,$189 ,3,2,3/4/2019,0.19,5,1,0,No smoking No children under the age of 18 No animals No loud parties or people beyond those included in the reservation No late night check-ins,
54354068,"Prime Location Cozy, Posh,  Upper East Side Room1",72380153399,verified,Jack,Manhattan,Upper East Side,40.78369,-73.95154000000001,United States,US,True,moderate,Private room,2013,"$1,147 ",$229 ,2,58,6/30/2019,4.96,4,3,354,,
54354621,"Prime Location Cozy, Posh,  Upper East Side Room 2",90536733174,verified,Jack,Manhattan,Upper East Side,40.78352,-73.95275,United States,US,True,moderate,Private room,2017,$214 ,$43 ,2,57,7/1/2019,4.76,2,3,351,"Please respect the space, and leave the apartment the way that you found it. Please do not host any parties, and be respectful of my neighbors. No pets allowed. No smoking allowed. No additional guests.",
54355173,"Prime Location Cozy, Posh,  Upper East Side Room3",85769516661,verified,Jack,Manhattan,Upper East Side,40.78394,-73.95137,United States,US,False,moderate,Private room,2008,$652 ,$130 ,2,49,6/30/2019,4.06,2,3,358,,
54355725,Red Hook Loft,71580075629,verified,Molly,Brooklyn,Red Hook,40.67966,-74.00641,United States,US,True,moderate,Private room,2019,$401 ,$80 ,7,1,9/1/2018,0.1,3,1,45,No smoking. No pets.,
54356278,A Cozy Single bed for Female Girls,48508347258,verified,Fei,Brooklyn,East New York,40.6757,-73.87657,United States,US,False,moderate,Shared room,2016,$870 ,$174 ,2,26,6/4/2019,2.25,4,1,50,"There are many coasters and please use them for your drinks.  There is one shelf in the kitchen cabinet that has food stuff that are personal and it will be marked as such.  Please no pets, smoking or parties.  There is a stand alone fireplace but it is decorative only. Please be respectful and keep noise to a minimum is the mornings and evenings to avoid disturbing neighbors.",
54356830,HouseOfGrace,27860533284,verified,Sien,Manhattan,East Village,40.72307,-73.98437,United States,US,True,strict,Private room,2014,$484 ,$97 ,1,12,5/4/2019,1.07,2,1,160,treat the property and other tenants with respect,
54357382,Spacious room in center of the city,21571929491,unconfirmed,Stella,Manhattan,Lower East Side,40.7216,-73.98791,United States,US,False,strict,Private room,2015,$525 ,$105 ,2,26,6/24/2019,2.29,4,4,61,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.  Parties, pets and smoking are not allowed under any circumstances and incur significant fees.",
54357934,Lucky home 温馨如家,95889662490,unconfirmed,Anna,Queens,Flushing,40.75432,-73.82273,United States,US,True,flexible,Private room,2011,$503 ,$101 ,1,1,8/15/2018,0.09,4,2,0,"House rules: Guests agree to the following terms and conditions 1.Guest(s) agree to NO PARTIES anywhere on the property. Legal action will be taken for parties that cause damages to the unit, property, reputation, or relationship with building staff or other residents.  2.Smoking of any kind is not permitted in the unit or on the premises.  3.Guests agree to abide by maximum occupancy of unit, and observe quiet hours between 9pm and 9am 4.Guests are responsible for action of ALL GUESTS occupying their unit at all times.  5.Guests agree to return all keys, remotes, and parking passes. Replacement fees may apply for unreturned items 6.Guests understand that onsite building staff (maintenance and concierge) are not affiliated with Jordan or AIRBNB. Please contact me directly for any needed items. 7.Guests understand that no pets are to be in the unit.  8.Guests agree to pay replacement cost for any unreturned items, and $125 per hour fee for unauthorized early checkin or late checkout.  18",
54358487,Very Sunny Apt on UWS,10967133039,verified,Yann,Manhattan,Morningside Heights,40.80494,-73.96426,United States,US,False,moderate,Entire home/apt,2013,"$1,053 ",$211 ,2,2,8/15/2018,0.18,3,1,0,"No smoking. No pets. No drugs. No parties. Quiet hours after 9pm.  Tenants' belongings are not covered under our insurance. We recommend that you obtain renter's insurance as we are not responsible for your belongings. We care for this apartment as if it were our own home.  This is a family neighborhood and a quiet/respectful one.  This home was built prior to 1978 and according to MA Lead Law notification, we have to inform our renters that there is a possibility of lead paint.  Kindly do not eat the walls.  Check-in Time: 3:00 PM  Checkout Time: 11:00 AM  To ensure your safe deposit returned on time, please follow your checkout duties: - Wash and put away dishes OR start the dishwasher! - Double bag the trash and we will take it out! - We will strip the sheets and wash the towels! Thank you so much!",
54359039,Large room near Times Square 31C4,15671825119,unconfirmed,John,Manhattan,Hell's Kitchen,40.75544,-73.99511,United States,US,True,flexible,Private room,2008,$798 ,$160 ,7,3,10/24/2018,0.29,3,47,348,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",
54359591,Large cozy room in the center of NYC 21B2,6942497352,unconfirmed,John,Manhattan,Hell's Kitchen,40.75492,-73.99563,United States,US,False,strict,Private room,2004,"$1,105 ",$221 ,7,7,5/25/2019,0.66,3,47,329,,
54360144,perfectly located right next to Main st Flushing,91731376203,verified,Tony,Queens,Flushing,40.756370000000004,-73.83208,United States,US,False,flexible,Entire home/apt,2016,$718 ,$144 ,2,22,6/9/2019,1.83,5,7,58,No Smoking,
54360696,Sunny Private Bedroom Near Manhattan,75567160851,unconfirmed,Carolina,Queens,Sunnyside,40.74122,-73.92223,United States,US,False,flexible,Private room,2008,"$1,182 ",$236 ,1,11,6/23/2019,0.93,2,1,346,The apartment is in a brownstone shared with five other tenants.  Guests are expected to be respectful of the property and treat it like their own.  Small Pets are allowed but need to be approved.  No parties or loud late night noise. 420 Friendly.,
54361248,Garden level Brooklyn apartment,30865306853,verified,Alex,Brooklyn,Boerum Hill,40.685629999999996,-73.98796,United States,US,False,flexible,Entire home/apt,2021,"$1,003 ",$201 ,4,2,12/20/2018,0.19,2,1,0,,
